Date,Company Name,NSE Symbol,BSE Code,Sector,Open,High,Low,Close,Adjusted Close,Volume,Daily Return,MA_7,MA_30,Volatility_30D,"Market Cap (Current, INR Cr)",is_imputed
31-12-2024,Tata Consultancy Services,TCS,532540,IT Services,500,502.5,495.35,500.01,500.01,3098291,0.00458,505.36,512.68,0.285523,459674.8819,FALSE
01-01-2025,Tata Consultancy Services,TCS,532540,IT Services,500.01,507.03,495.27,503.9,503.9,2382374,0.00778,507.2,512.33,0.287438,459674.8819,FALSE
02-01-2025,Tata Consultancy Services,TCS,532540,IT Services,503.9,514.49,502.32,509.76,509.76,3634896,0.011629,509.04,511.98,0.289353,459674.8819,FALSE
03-01-2025,Tata Consultancy Services,TCS,532540,IT Services,509.76,514.34,507.95,511.82,511.82,7026203,0.004041,510.88,511.63,0.291268,459674.8819,FALSE
06-01-2025,Tata Consultancy Services,TCS,532540,IT Services,511.82,517.78,509.5,515.06,515.06,4906069,0.00633,512.72,511.28,0.293183,459674.8819,FALSE
07-01-2025,Tata Consultancy Services,TCS,532540,IT Services,515.06,533.69,512.91,530.5,530.5,6761473,0.029977,514.56,510.93,0.295098,459674.8819,FALSE
08-01-2025,Tata Consultancy Services,TCS,532540,IT Services,530.5,547.78,529.49,543.77,543.77,7397332,0.025014,516.4,510.58,0.297013,459674.8819,FALSE
09-01-2025,Tata Consultancy Services,TCS,532540,IT Services,543.77,544.16,508.25,512.86,512.86,7315047,-0.056844,518.24,510.23,0.298928,459674.8819,FALSE
10-01-2025,Tata Consultancy Services,TCS,532540,IT Services,512.86,515.5,508.57,509.86,509.86,3457002,-0.00585,519.09,509.88,0.300843,459674.8819,FALSE
13-01-2025,Tata Consultancy Services,TCS,532540,IT Services,509.86,512.32,504.85,508.44,508.44,7142338,-0.002785,518.9,509.53,0.302758,459674.8819,FALSE
14-01-2025,Tata Consultancy Services,TCS,532540,IT Services,509.86,512.32,504.85,508.44,508.44,7365632,0,518.42,509.18,0.304673,459674.8819,TRUE
15-01-2025,Tata Consultancy Services,TCS,532540,IT Services,490.87,494.47,490.68,492.04,492.04,7717173,-0.032256,515.13,508.83,0.306588,459674.8819,FALSE
16-01-2025,Tata Consultancy Services,TCS,532540,IT Services,492.04,506.94,488.83,504.58,504.58,3457020,0.025486,511.43,508.48,0.308503,459674.8819,FALSE
17-01-2025,Tata Consultancy Services,TCS,532540,IT Services,504.58,509.43,492.19,493.87,493.87,2598353,-0.021226,504.3,508.13,0.310418,459674.8819,FALSE
20-01-2025,Tata Consultancy Services,TCS,532540,IT Services,493.87,499.68,490.63,497.44,497.44,5089917,0.007229,502.1,507.78,0.312333,459674.8819,FALSE
21-01-2025,Tata Consultancy Services,TCS,532540,IT Services,497.44,498.34,488.11,488.57,488.57,7522770,-0.017831,499.05,507.43,0.314248,459674.8819,FALSE
22-01-2025,Tata Consultancy Services,TCS,532540,IT Services,488.57,489.63,477.67,482.25,482.25,7304340,-0.012936,495.31,507.08,0.316163,459674.8819,FALSE
23-01-2025,Tata Consultancy Services,TCS,532540,IT Services,482.25,497.22,478.64,496.74,496.74,4998492,0.030047,493.64,506.73,0.318078,459674.8819,FALSE
